Jaren 20e en 21e eeuw - Gemiddelde temperatuur per maand en jaar - De Bilt in Nederland;;;;;;;;;;;;;
;jan;feb;mrt;apr;mei;jun;jul;aug;sep;okt;nov;dec;Jaar
2019;3,5;6,1;8;10,9;11,7;18,1;18,8;18,4;14,5;11,6;6,4;6,2;11.7
2018;5,6;0,7;4,7;12,2;16,4;17,9;20,7;18,5;14,7;11,9;6,8;6,1;11,4
2017;1,6;5,1;8,6;8,6;15;18;17,9;17,2;13,7;13,3;7,3;4,9;11
2016;4,8;4,6;5,4;8,7;14,5;16,8;18,4;17,9;17,3;9,9;5,4;4,7;10,7
2015;4;3,5;6,2;9;12,4;15,6;18,4;18,5;13,4;9,9;9,9;9,6;10,9
2014;5,7;6,5;8,4;12,1;13,2;16,2;19,8;16,1;15,9;13,4;8,2;4,8;11,7
2013;2;1,7;2,5;8,1;11,5;15,3;19,2;18,1;14,4;12,2;6,7;5,9;9,8
2012;4,9;0,8;8,3;8,4;14,5;14,9;17,3;18,5;14,2;10,5;6,8;5;10,3
2011;3,5;4,6;6;13,1;14;16,1;15,9;16,9;15,6;11,4;7,2;6,5;10,9
2010;-0,5;1,6;6,4;9,7;10,5;16,4;19,9;16,8;13,6;10,4;5,8;-1,1;9,1
2009;0,8;3,3;6,3;12,2;13,9;15,6;18,1;18,5;15;10,7;9,5;2,2;10,5
2008;6,5;5,1;5,9;8,9;15,7;16,5;18,1;17,4;13,6;10,1;6,9;2,4;10,6
2007;7,1;6;8;13,1;14,1;17,5;17;17,1;13,8;10,1;6,9;3,8;11,2
2006;1,5;2,9;3,9;9;14,5;16,7;22,3;16,4;17,9;13,6;9,2;6,5;11,2
2005;5,3;2,4;6,5;10,4;12,6;16,8;17,7;16,2;15,7;13,3;6,9;4;10,7
2004;3,6;4,8;5,9;10,4;12,3;15,5;16,7;18,8;15,2;11,3;6,3;3,2;10,3
2003;2,5;1,8;7,3;9,9;13,2;17,8;18,8;19,3;13,9;7,5;8;4;10,3
2002;4,4;7,1;7,2;9,3;13,4;16,5;17,6;18,6;14,6;9,5;7,9;2,9;10,8
2001;2,6;4,5;4,9;8,3;14,1;15,2;18,5;18,5;13,4;14,2;7,1;2,9;10,4
